Rank,Total TWh,Fossil,Nuclear,Renewable,Inhabitants (millions),per capita (MWh/a)
1,4830,78,2,20,1356,3.56
2,4070,66,19,13,314,12.96
3,948,63 ,16 ,21 ,144,6.58
4,940,81 ,3 ,16 ,1237,0.76
5,543,24 ,15 ,59 ,34.9,15.56
6,246,75 ,2,23,117,2.1
7,498,17,1,82,199,2.5
8,124,54,4,41,41.1,3.02
9,102,35,0,65,30,3.4
10,585,57,15,25,81.9,7.14
11,482,9,75,16,65.4,7.37
12,347,67,19,12,63.7,5.45
13,321,68,0,32,60.9,5.27
14,261,48,21,31,46.2,5.65
15,166,45,47,8,45.6,3.64
16,148,89,0,10,38.5,3.84
17,136,2,38,60,9.5,14.3
18,119,2,0,98,5,23.8
19,115,81,4,14,16.8,6.85
20,88.9,35,48,14,11.1,8.01
21,84.9,26,33,41,5.4,15.7
22,207,73,0,27,74.9,2.76
23,93.7,100,0,0,9.2,10.18
24,517,70,28,2,50,10.3
25,241,79,16,5,23.4,10.3
26,186,94,1,5,80.8,2.3
27,181,89,0,11,247,0.733
28,169,95,0,5,67.7,2.5
29,126,84,0,16,29.2,4.32
30,104,60,0,40,93.4,1.11
31,85.4,88,0,12,16.8,5.08
32,80.1,64,6,29,179,0.447
33,236,89,0,9,23.1,10.2
34,240,83,5,12,52.3,4.59
35,146,88,0,12,80.7,1.81
